,Buurtnaam,Buurtcode,age,house_type,edu,feeling_safe,nuisance,pop_density,offices,shops,facilities,horeca,creative,tourism,single_rate,water_perc,avg_income,home_value,perc_westers,perc_man,avg_pp_household,crime_index,party
18,Nieuwe Kerk e.o.,3630104,1,0,2,1,2,1,1,2,1,2,1,2,2,0,1,1,2,1,0,2,GROENLINKS
19,Nieuwendijk Noord,3630102,1,0,2,1,2,1,1,1,0,1,1,1,2,1,1,1,2,1,0,2,GROENLINKS
20,Begijnhofbuurt,3630106,1,0,2,1,2,1,1,2,1,1,0,1,2,0,1,1,2,0,0,2,GROENLINKS
21,Kalverdriehoek,3630107,1,0,2,1,2,0,0,1,0,1,0,1,2,1,1,1,2,1,0,2,GROENLINKS
22,Hemelrijk,3630101,1,0,2,1,2,1,1,1,0,1,1,1,2,1,1,1,2,1,0,2,GROENLINKS
23,Spuistraat Zuid,3630105,1,0,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,0,2,GROENLINKS
24,Spuistraat Noord,3630103,1,0,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,0,2,GROENLINKS
25,Kop Zeedijk,3630000,1,0,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,0,2,GROENLINKS
26,Burgwallen Oost,3630002,1,0,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,0,2,GROENLINKS
27,BG-terrein e.o.,3630004,1,0,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,0,2,GROENLINKS
28,Nes e.o.,3630003,1,0,2,2,2,1,1,1,1,1,1,1,2,0,1,1,2,1,0,2,GROENLINKS
29,Oude Kerk e.o.,3630001,1,0,2,2,2,1,1,1,1,2,1,2,2,0,1,1,2,1,0,2,GROENLINKS
30,Westerdokseiland,3630500,2,2,2,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,0,1,GROENLINKS
31,Haarlemmerbuurt Oost,3630501,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
32,Westelijke eilanden,3630503,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
33,Haarlemmerbuurt West,3630502,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
34,Planciusbuurt Zuid,3630506,2,0,2,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,GROENLINKS
35,Planciusbuurt Noord,3630505,1,0,2,1,1,1,0,0,0,0,0,0,2,2,1,1,2,1,0,1,GROENLINKS
36,Coenhaven/Mercuriushaven,3631000,2,1,2,1,1,0,1,1,0,1,1,1,2,2,0,1,1,1,0,1,D66
